status,employee,industry,manager,age
Growth,350,Manufacturing,27,19
Growth,35,Manufacturing,24,20
No growth,6,Services,3,9
No growth,7,Services,14,16
Growth,46,Manufacturing,12,14
Growth,51,Manufacturing,20,7
Growth,130,Manufacturing,15,6
No growth,15,Services,14,16
No growth,13,Retail,NA,15
No growth,28,Services,5,7
Growth,40,Manufacturing,25,5
No growth,130,Manufacturing,25,22
Growth,170,Manufacturing,19,20
Growth,150,Manufacturing,25,5
No growth,6,Retail,3,5
No growth,32,Services,25,8
Growth,200,Manufacturing,10,4
No growth,13,Services,8,7
No growth,5,Retail,25,9
No growth,13,Services,25,7
Growth,26,Services,18,10
Growth,200,Manufacturing,26,9
No growth,9,Retail,28,10
No growth,250,Services,24,25
Growth,138,Manufacturing,12,4
No growth,12,Services,28,14
Growth,147,Manufacturing,25,8
No growth,43,Manufacturing,21,22
No growth,11,Services,20,5
No growth,26,Manufacturing,24,25
Growth,7,Manufacturing,12,9
No growth,100,Services,29,25
No growth,5,Services,28,27
No growth,104,Services,19,19
No growth,15,Retail,8,15
Growth,106,Services,30,18
No growth,67,Retail,28,19
No growth,110,Services,39,27
Growth,244,Manufacturing,15,16
Growth,10,Manufacturing,5,6
No growth,56,Retail,20,19
No growth,95,Services,24,9
Growth,80,Manufacturing,5,6
Growth,224,Manufacturing,30,16
Growth,920,Manufacturing,23,14
No growth,11,Services,18,17
No growth,5,Retail,10,12
Growth,130,Manufacturing,21,3
No growth,7,Services,7,8
No growth,44,Services,30,26
Growth,12,Retail,20,13
No growth,103,Manufacturing,40,26
No growth,10,Services,25,23
Growth,125,Manufacturing,30,20
No growth,13,Retail,14,15
No growth,5,Manufacturing,23,24
Growth,28,Retail,7,8
Growth,95,Manufacturing,12,13
No growth,10,Services,NA,23
No growth,5,Services,35,29
No growth,8,Services,26,28
No growth,20,Retail,19,14
Growth,70,Manufacturing,14,4
No growth,10,Services,7,8
Growth,480,Manufacturing,25,10
Growth,12,Manufacturing,15,16
No growth,5,Retail,30,11
No growth,10,Services,28,27
No growth,12,Manufacturing,26,28
No growth,5,Services,25,22
No growth,5,Retail,30,26
Growth,18,Manufacturing,6,6
No growth,5,Services,10,6
No growth,7,Retail,10,11
No growth,45,Manufacturing,24,26
No growth,27,Retail,20,6
Growth,155,Manufacturing,5,6
No growth,44,Retail,25,18
Growth,87,Manufacturing,25,17
No growth,20,Services,25,26
No growth,14,Services,27,27
Growth,12,Services,5,4
Growth,73,Manufacturing,20,4
No growth,500,Manufacturing,30,26
No growth,13,Retail,25,12
Growth,28,Manufacturing,6,7
No growth,25,Services,40,20
No growth,5,Services,16,17
No growth,15,Services,35,9
No growth,8,Services,20,17
Growth,140,Manufacturing,4,6
Growth,183,Manufacturing,25,6
Growth,72,Manufacturing,27,17
Growth,160,Manufacturing,18,20
Growth,25,Manufacturing,2,19
No growth,45,Services,35,14
No growth,57,Manufacturing,40,26
No growth,10,Services,7,8
Growth,85,Manufacturing,20,5
No growth,5,Services,24,26
No growth,5,Retail,9,11
No growth,300,Manufacturing,40,23
Growth,25,Manufacturing,20,16
Growth,140,Manufacturing,40,8
Growth,350,Manufacturing,25,15
Growth,350,Manufacturing,25,5
No growth,170,Manufacturing,33,24
No growth,5,Retail,20,10
Growth,350,Manufacturing,25,16
No growth,5,Services,13,3
No growth,149,Services,6,21
No growth,40,Services,40,21
No growth,81,Services,5,14
Growth,101,Manufacturing,3,4
Growth,104,Manufacturing,18,19
No growth,4,Services,7,17
No growth,5,Services,5,6
No growth,30,Retail,14,15
No growth,160,Retail,23,25
Growth,200,Manufacturing,10,11
No growth,10,Services,26,28
Growth,275,Services,28,18
No growth,8,Manufacturing,25,26
Growth,13,Manufacturing,15,13
Growth,8,Retail,10,12
No growth,70,Manufacturing,30,25
No growth,6,Services,12,13
No growth,240,Manufacturing,40,28
Growth,70,Manufacturing,11,12
No growth,124,Manufacturing,40,26
No growth,108,Manufacturing,25,22
No growth,22,Services,30,26
Growth,250,Manufacturing,40,15
No growth,17,Retail,5,6
No growth,30,Services,25,21
No growth,6,Services,9,10
No growth,13,Services,28,25
Growth,60,Manufacturing,3,4
No growth,120,Services,26,13
Growth,103,Manufacturing,17,18
No growth,15,Retail,30,7
No growth,14,Retail,20,12
Growth,40,Retail,20,20
Growth,110,Manufacturing,29,12
No growth,5,Services,40,27
No growth,5,Services,5,5
No growth,31,Services,20,16
No growth,5,Retail,27,10
No growth,9,Food,10,12
Growth,30,Food,10,8
No growth,600,Food,5,24
No growth,19,Services,1,17
No growth,300,Services,27,10
No growth,100,Services,15,7
No growth,10,Retail,6,7
No growth,12,Retail,55,55
No growth,130,Services,23,25
No growth,220,Services,19,20
Growth,25,Retail,25,11
No growth,6,Services,6,7
No growth,15,Services,1,23
No growth,10,Retail,11,24
No growth,15,Food,8,9
No growth,90,Food,30,25
No growth,5,Retail,16,17
No growth,250,Food,20,82
No growth,6,Retail,20,8
No growth,34,Food,15,17
No growth,120,Services,15,3
No growth,210,Services,5,12
No growth,55,Retail,20,24
No growth,45,Food,14,15
Growth,33,Food,8,9
No growth,7,Services,40,25
No growth,80,Food,15,24
No growth,20,Services,3,4
No growth,19,Food,10,16
Growth,21,Food,18,19
No growth,7,Services,23,24
No growth,20,Services,35,23
No growth,16,Services,10,11
No growth,101,Retail,20,9
No growth,110,Services,18,6
No growth,74,Services,5,23
No growth,11,Retail,10,8
No growth,260,Services,40,24
No growth,127,Retail,1,21
No growth,163,Services,42,24
No growth,5,Retail,14,16
Growth,78,Food,8,18
No growth,7,Services,10,19
No growth,27,Retail,11,12
No growth,30,Services,33,31
No growth,22,Retail,30,9
